name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Chen-Ling Lien,judo,TPE,female,31/01/1988,28.5,1.68,57
Suleyman Atli,wrestling,TUR,male,27/07/1994,22,1.68,57
Anna Kornuta,athletics,UKR,female,10/11/1988,27.8,1.68,57
Anton Fokin,gymnastics,UZB,male,13/11/1982,33.8,1.68,57
Sofia Sanchez,aquatics,ARG,female,23/08/1989,27,1.67,57
Belinda Hocking,aquatics,AUS,female,14/09/1990,25.9,1.67,57
Tanja Frank,sailing,AUT,female,24/01/1993,23.5,1.67,57
Jiaojiao De,hockey,CHN,female,05/01/1990,26.6,1.67,57
Xiao Sun,hockey,CHN,female,13/06/1992,24.2,1.67,57
Yislena Hernandez,rowing,CUB,female,13/03/1990,26.4,1.67,57
Jade Jones,taekwondo,GBR,female,21/03/1993,23.4,1.67,57
Carolin Golubytskyi,fencing,GER,female,19/12/1985,30.6,1.67,57
Isabel Kerschowski,football,GER,female,22/01/1988,28.6,1.67,57
Nikoleta Kyriakopoulou,athletics,GRE,female,21/03/1986,30.4,1.67,57
Laura Sarosi,badminton,HUN,female,11/11/1992,23.7,1.67,57
Maayan Davidovich,sailing,ISR,female,21/05/1988,28.2,1.67,57
Elaine Thompson,athletics,JAM,female,28/06/1992,24.1,1.67,57
Kana Nomura,hockey,JPN,female,23/03/1990,26.4,1.67,57
Takayuki Tanii,athletics,JPN,male,14/02/1983,33.5,1.67,57
Eliud Kipchoge,athletics,KEN,male,05/11/1984,31.8,1.67,57
Bobae Ki,archery,KOR,female,20/02/1988,28.5,1.67,57
Yeon Ju Bae,badminton,KOR,female,26/10/1990,25.8,1.67,57
San Yu Htwe,archery,MYA,female,14/10/1986,29.8,1.67,57
Michelle Vorster,cycling,NAM,female,12/09/1978,37.9,1.67,57
Anna Green,football,NZL,female,20/08/1990,26,1.67,57
Selina Buchel,athletics,SUI,female,26/07/1991,25,1.67,57
Liliana Neto,athletics,ANG,female,29/01/1997,19.5,1.66,57
Claudia Jaqueline Teles,rugby sevens,BRA,female,02/01/1992,24.6,1.66,57
Shimaa Hashad,shooting,EGY,female,21/04/1981,35.3,1.66,57
Sania Mirza,tennis,IND,female,15/11/1986,29.7,1.66,57
Sachi Mochida,aquatics,JPN,female,19/07/1999,17.1,1.66,57
Yusuke Tanaka,gymnastics,JPN,male,29/11/1989,26.7,1.66,57
Anne Terpstra,cycling,NED,female,05/01/1991,25.6,1.66,57
Julia Edward,rowing,NZL,female,20/02/1991,25.5,1.66,57
Natthanan Junkrajang,aquatics,THA,female,13/04/1986,30.3,1.66,57
Alicia Brown,athletics,CAN,female,21/01/1990,26.6,1.65,57
Xing Han,table tennis,CGO,female,08/11/1989,26.8,1.65,57
Lavenia Tinai,rugby sevens,FIJ,female,07/09/1990,25.9,1.65,57
Xue Li,table tennis,FRA,female,14/04/1985,31.3,1.65,57
Charlotte Taylor,rowing,GBR,female,14/08/1985,31,1.65,57
Jessica Ennis-Hill,athletics,GBR,female,28/01/1986,30.5,1.65,57
Gelly Skarlatou,sailing,GRE,female,28/01/1976,40.5,1.65,57
Ludovico Edalli,gymnastics,ITA,male,18/12/1993,22.6,1.65,57
Samuel Ireri Gathimba,athletics,KEN,male,26/10/1987,28.8,1.65,57
Sunwoo Kim,modern pentathlon,KOR,female,07/10/1996,19.8,1.65,57
Nora Gjakova,judo,KOS,female,17/08/1992,24,1.65,57
Alejandra Ortega,athletics,MEX,female,08/07/1994,22.1,1.65,57
Racquel Sheath,cycling,NZL,female,27/11/1994,21.7,1.65,57
Raul Machacuay,athletics,PER,male,18/02/1983,33.5,1.65,57
Ewelina Ptak,athletics,POL,female,20/03/1987,29.4,1.65,57
Justyna Swiety,athletics,POL,female,03/12/1992,23.7,1.65,57
Tanya Seymour,equestrian,RSA,female,05/11/1983,32.8,1.65,57
Wenda Nel,athletics,RSA,female,30/07/1988,28,1.65,57
Alisa Kiriliuk,sailing,RUS,female,09/07/1990,26.1,1.65,57
